PO6M-LIN 10K;4
RAD 470/25;10
RAD 10/100;20
RAD 105 100/35;20
µA 78L05;10
BS 170;10
ZF 6,2;20
HEBLM 21;4
ATTINY 45-20PU;4
SNT 2250 12V;2
KNOPF 48-6 SW;6
DECKEL 48M SW;6
GF 61;1
2N 7000;20
IRF 530N;20
IRF 9Z34N;20
TEKO 362;4
DK 10MM;50
PO6M+S-LIN 10K;4
ATTINY 861A-PU;4
X5R-G0805 10/16;10
X7R-G0805 100N;50
SMD-0805 1,00K;100
EBV 35;4
